I_arcSum	I_inj_total	V_InjD12
-122.12234	-36.78257	0
-99.876884	-36.619202	0
-63.183563	-32.474251	0
-51.625603	-21.405235	0
-52.962372	-17.626663	0
-52.740982	-19.834557	0
-52.073425	-20.511841	0
-52.294823	-22.735313	0
-51.405876	-21.189613	0
-37.85199	-5.2369308	0
-7.393033	2.037468	0
10.193011	-2.9217911	0
5.7550035	-10.916565	0
-0.47936389	-5.131485	0
1.2951678	-1.8045502	0
3.9653604	-4.0421982	0
3.7439637	-2.0689316	0
2.8550191	-4.057312	0
3.0764158	-2.2907257	0
3.2994909	-4.507103	0
3.2994914	-5.626152	0
3.0780945	-3.8666611	0
3.0780945	-4.3159866	0
3.0780945	-1.452095	0
3.0780945	-5.4426041	0
3.5208879	-5.0084	0
3.5208879	-6.3412399	0
3.2994914	-6.1279144	0
3.5208879	-2.3733902	0
3.5208879	-4.147995	0
3.7422848	-2.1676254	0
3.7422845	-4.604866	0
3.9636812	-3.7218018	0
4.1850777	-3.9502411	0
3.9636812	-3.9577942	0
3.7422845	-0.65214539	0
3.5208879	-3.5311584	0
3.5208879	-2.6551971	0
3.5208879	-4.8715363	0
3.5208879	-5.548851	0
3.2994909	-3.78936	0
3.2994914	-4.238678	0
3.2994914	-1.5956573	0
3.2994914	-5.3652802	0
3.5225673	-4.931076	0
3.7439637	-6.263916	0
3.5208883	-5.3808441	0
3.5208883	-2.2960815	0
3.2994916	-4.0706863	0
3.5208881	-2.090332	0
3.5208881	-4.9693146	0
3.7422848	-4.7559967	0
3.5208881	-4.7635345	0
3.5208881	-4.7711029	0
3.2994916	-1.686348	0
3.0764158	-4.5653458	0
2.8550191	-3.468483	0
3.2994909	-6.3546143	0
3.0780945	-6.3621674	0
3.2994909	-4.3817673	0
3.2994914	-5.0519791	0
3.2994914	-2.1880875	0
3.0780945	-5.0670929	0
3.0764158	-4.8537598	0
3.0764158	-5.9657288	0
3.7439637	-5.7524261	0
3.9670396	-2.4467545	0
3.9653606	-4.8839951	0
3.5208888	-3.1245117	0
3.7422853	-5.5617599	0
3.9653611	-5.569313	0
3.9653611	-5.1351013	0
3.9653611	-5.363533	0
4.188437	-1.3881378	0
4.8559852	-4.2671509	0
4.8559852	-3.6120605	0
4.4098339	-5.6075516	0
3.9653611	-5.8359756	0
4.1884365	-3.4138565	0
4.6329088	-4.9675751	0
4.6329088	-2.7663116	0
4.409833	-5.4244461	0
4.409833	-5.2111282	0
4.6329088	-5.8813248	0
4.8543053	-6.7795029	0
4.1884365	-3.2529678	0
3.7422848	-5.6902084	0
3.7422848	-3.4818497	0
4.1867576	-5.6982193	0
4.1867576	-5.4848938	0
4.1867576	-3.9462891	0
4.1867576	-4.3956146	0
4.1867576	-1.5317307	0
4.1867576	-4.4107208	0
3.9636817	-3.7556305	0
3.7406058	-4.8676071	0
3.9620023	-5.3169174	0
4.1867571	-2.4530258	0
4.1867571	-5.5671005	0
3.7422845	-2.2614517	0
3.2994909	-2.9316483	0
3.0780945	-0.95127869	0
2.6336222	0.58022308	0
2.1891499	2.3397141	0
1.7446778	7.1915283	0
1.744678	4.7471848	0
1.744678	6.9484482	0
