I_arcSum,I_inj_total,OTor3,PlasmaRogA,V_InjD12
-122.12234,-36.78257,-0.050233722,1522.2714,0
-99.876884,-36.619202,0.29707184,1522.4329,0
-63.183563,-32.474251,0.29707184,1522.5944,0
-51.625603,-21.405235,-0.050233722,1522.756,0
-52.962372,-17.626663,-0.050233722,1522.9175,0
-52.740982,-19.834557,-0.050233722,1523.079,0
-52.073425,-20.511841,-0.39753917,1523.2405,0
-52.294823,-22.735313,-0.050233722,1523.4021,0
-51.405876,-21.189613,0.29707184,1523.5636,0
-37.85199,-5.2369308,0.29707184,1523.7251,0
-7.393033,2.037468,-0.050233722,1523.2749,0
10.193011,-2.9217911,-0.050233722,1523.4364,0
5.7550035,-10.916565,-0.050233722,1524.8214,0
-0.47936389,-5.131485,-0.050233722,1526.2064,0
1.2951678,-1.8045502,-0.74484456,1522.0859,0
3.9653604,-4.0421982,-0.050233722,1518.5771,0
3.7439637,-2.0689316,0.64437717,1527.3027,0
2.8550191,-4.057312,0.64437717,1534.1931,0
3.0764158,-2.2907257,-0.050233722,1521.5085,0
3.2994909,-4.507103,-0.39753917,1511.8826,0
3.2994914,-5.626152,0.29707184,1527.337,0
3.0780945,-3.8666611,-0.050233722,1537.8978,0
3.0780945,-4.3159866,-0.39753917,1521.543,0
3.0780945,-1.452095,-0.050233722,1511.917,0
3.0780945,-5.4426041,0.29707184,1527.3715,0
3.5208879,-5.0084,0.29707184,1534.262,0
3.5208879,-6.3412399,-0.050233722,1520.9656,0
3.2994914,-6.1279144,0.29707184,1516.2334,0
3.5208879,-2.3733902,-0.050233722,1526.1825,0
3.5208879,-4.147995,-0.050233722,1528.7909,0
3.7422848,-2.1676254,-0.050233722,1522.2235,0
3.7422845,-4.604866,-0.050233722,1520.5498,0
3.9636812,-3.7218018,-0.050233722,1524.3817,0
4.1850777,-3.9502411,0.29707184,1525.7666,0
3.9636812,-3.9577942,0.29707184,1524.7047,0
3.7422845,-0.65214539,-0.050233722,1523.0311,0
3.5208879,-3.5311584,-0.050233722,1522.5809,0
3.5208879,-2.6551971,-0.050233722,1525.1893,0
3.5208879,-4.8715363,-0.39753917,1527.186,0
3.5208879,-5.548851,-0.39753917,1524.2889,0
3.2994909,-3.78936,-0.050233722,1522.0035,0
3.2994914,-4.238678,-0.050233722,1525.8354,0
3.2994914,-1.5956573,0.29707184,1527.8322,0
3.2994914,-5.3652802,-0.050233722,1524.3234,0
3.5225673,-4.931076,-0.050233722,1523.2615,0
3.7439637,-6.263916,-0.050233722,1526.4816,0
3.5208883,-5.3808441,-0.39753917,1527.2548,0
3.5208883,-2.2960815,-0.050233722,1524.9695,0
